Tidal current
	"Status"	"application submitted"
	"Name"	"Fair Head Tidal Energy Farm (1)"
	"Commercial Readiness"	"commercial project"
	"Phase"	"1"
	"Country"	"United Kingdom"
	"Sea"	"Irish Sea"
	"Region"	"Northern Ireland"
	"Latitude (° N)"	"55.23"
	"Longitude (° E)"	"-6.104"
	"Capacity [MW]"	"10"
	"Energy source"	"marine energy (current)"
	"Number of converters"	"6"
	"(Estimated) begin of construction"	"31.12.2018"
	"(Estimated) commissioning"	"31.12.2019"
	"(Estimated) decommissioning"	"31.12.2046"
	"Owner"	"DP Energy Limited,  Bluepower NV"
	"Project developer"	"Fair Head Tidal Energy Park Limited"
	"Operator"	"DP Energy Limited"
	"Converter manufacturer"	""
	"Converter type"	""
	"Converter working principle"	""
	"Converter capacity [MW]"	""
	"Website"	"http://www.fairheadtidal.com/"
	"geometry"	"POINT (-679494.17180214 7406632.98982034)"
	"Status"	"application submitted"
	"Name"	"Fair Head Tidal Energy Farm (rest)"
	"Commercial Readiness"	"commercial project"
	"Phase"	""
	"Country"	"United Kingdom"
	"Sea"	"Irish Sea"
	"Region"	"Northern Ireland"
	"Latitude (° N)"	"55.23"
	"Longitude (° E)"	"-6.104"
	"Capacity [MW]"	"90"
	"Energy source"	"marine energy (current)"
	"Number of converters"	""
	"(Estimated) begin of construction"	"31.12.2021"
	"(Estimated) commissioning"	"31.12.2025"
	"(Estimated) decommissioning"	"31.12.2046"
	"Owner"	""
	"Project developer"	""
	"Operator"	"DP Energy Limited"
	"Converter manufacturer"	""
	"Converter type"	""
	"Converter working principle"	""
	"Converter capacity [MW]"	""
	"Website"	"http://www.fairheadtidal.com/"
	"geometry"	"POINT (-679494.17180214 7406632.98982034)"

Bathymetry
	"Band 1"	"-46.0499"

