Tidal barrage lagoon fence 
	"Status"	"early concept"
	"Name"	"NWTE project"
	"Commercial Readiness"	"commercial project"
	"Phase"	""
	"Country"	"United Kingdom"
	"Sea"	"Irish Sea"
	"Region"	"between Prestatyn and Llandudno, Wales"
	"Latitude (° N)"	"53.323"
	"Longitude (° E)"	"-3.645"
	"Capacity [MW]"	"2500"
	"Energy source"	"marine energy (tidal barrage)"
	"Number of converters"	"125"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	"North Wales Tidal Energy &amp; Coastal Protection (NWTE)"
	"Operator"	""
	"Converter manufacturer"	""
	"Converter type"	""
	"Converter working principle"	""
	"Converter capacity [MW]"	""
	"Website"	"https://www.northwalestidalenergy.com/"
	"geometry"	"POINT (-405759.54394148 7042969.10241618)"

Bathymetry
	"Band 1"	"-3.61704"

