Wave
	"Status"	"early concept"
	"Name"	"WEC S3 sea trial"
	"Commercial Readiness"	"pre-commercial project"
	"Phase"	""
	"Country"	"Monaco"
	"Sea"	"Mediterranean Sea"
	"Region"	"Port of Monaco"
	"Latitude (° N)"	"43.725"
	"Longitude (° E)"	"7.422"
	"Capacity [MW]"	""
	"Energy source"	"marine energy (wave)"
	"Number of converters"	""
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	"31.12.2021"
	"(Estimated) decommissioning"	"31.12.2022"
	"Owner"	"SBM Offshore"
	"Project developer"	"SBM Offshore"
	"Operator"	"SBM Offshore"
	"Converter manufacturer"	"SBM Offshore"
	"Converter type"	"WEC S3"
	"Converter working principle"	"Bulge Wave"
	"Converter capacity [MW]"	"0."
	"Website"	"https://www.sbmoffshore.com/news/sea-trial-in-the-principality-of-monaco-announced-for-sbm-offshores-innovative-s3-wave-energy-converter/"
	"geometry"	"POINT (826213.26066768 5422983.45884075)"

EEZ boundaries
	"id"	"1,134"
	"line_id"	"221"
	"line_name"	"Italy Straight Baseline"
	"line_type"	"Straight Baseline"
	"mrgid_sov1"	"2,133"
	"mrgid_ter1"	"2,133"
	"territory1"	"Italy"
	"sovereign1"	"Italy"
	"mrgid_ter2"	"0"
	"territory2"	""
	"mrgid_sov2"	"0"
	"sovereign2"	""
	"mrgid_eez1"	"5,682"
	"eez1"	"Italian Exclusive Economic Zone"
	"mrgid_eez2"	"0"
	"eez2"	""
	"source1"	"Decree of the President of the Republic No. 816 of 26 April 1977 containing regulations concerning the application of Law No. 1658 of 8 December 1961 authorizing accession to the Convention on the Territorial Sea and the Contiguous Zone, adopted at Ge..."
	"url1"	"http://www.marineregions.org/documents/Legge58.pdf"
	"source2"	""
	"url2"	""
	"source3"	""
	"url3"	""
	"origin"	"Database"
	"doc_date"	"1977-04-26"
	"mrgid_jreg"	"0"
	"joint_reg"	""
	"length_km"	"23"
	"geometry"	"MULTILINESTRING ((871909.91163832 5436986.06002841, 854284.32559606 5430945.63297987, 841204.28542785 5431331.07389582))"
	"id"	"31"
	"line_id"	"1,137"
	"line_name"	"Monaco - France"
	"line_type"	"Treaty"
	"mrgid_sov1"	"2,222"
	"mrgid_ter1"	"2,222"
	"territory1"	"Monaco"
	"sovereign1"	"Monaco"
	"mrgid_ter2"	"17"
	"territory2"	"France"
	"mrgid_sov2"	"17"
	"sovereign2"	"France"
	"mrgid_eez1"	"21,790"
	"eez1"	"Monégasque Exclusive Economic Zone"
	"mrgid_eez2"	"5,677"
	"eez2"	"French Exclusive Economic Zone"
	"source1"	"Convention on Maritime Delimitation between the Government of His Most Serene Highness the Prince of Monaco and the Government of the French Republic, 16 February 1984"
	"url1"	"http://www.marineregions.org/documents/MCO-FRA1984MD.PDF"
	"source2"	"Convention on Maritime Delimitation between the Government of His Most Serene Highness the Prince of Monaco and the Government of the French Republic, 16 February 1984"
	"url2"	"http://www.marineregions.org/documents/volume-1411-I-23631-English.pdf"
	"source3"	""
	"url3"	""
	"origin"	"Database"
	"doc_date"	"1984-02-16"
	"mrgid_jreg"	"0"
	"joint_reg"	""
	"length_km"	"23"
	"geometry"	"MULTILINESTRING ((825944.23856493 5423107.5475401, 834525.11598024 5392909.06333587))"
	"id"	"32"
	"line_id"	"1,138"
	"line_name"	"Monaco - France"
	"line_type"	"Treaty"
	"mrgid_sov1"	"2,222"
	"mrgid_ter1"	"2,222"
	"territory1"	"Monaco"
	"sovereign1"	"Monaco"
	"mrgid_ter2"	"17"
	"territory2"	"France"
	"mrgid_sov2"	"17"
	"sovereign2"	"France"
	"mrgid_eez1"	"21,790"
	"eez1"	"Monégasque Exclusive Economic Zone"
	"mrgid_eez2"	"5,677"
	"eez2"	"French Exclusive Economic Zone"
	"source1"	"Convention on Maritime Delimitation between the Government of His Most Serene Highness the Prince of Monaco and the Government of the French Republic, 16 February 1984"
	"url1"	"http://www.marineregions.org/documents/MCO-FRA1984MD.PDF"
	"source2"	"Convention on Maritime Delimitation between the Government of His Most Serene Highness the Prince of Monaco and the Government of the French Republic, 16 February 1984"
	"url2"	"http://www.marineregions.org/documents/volume-1411-I-23631-English.pdf"
	"source3"	""
	"url3"	""
	"origin"	"Database"
	"doc_date"	"1984-02-16"
	"mrgid_jreg"	"0"
	"joint_reg"	""
	"length_km"	"23"
	"geometry"	"MULTILINESTRING ((828159.49643171 5426899.04780275, 829719.82462766 5425786.55878832, 838050.2331887 5396449.68505697))"
	"id"	"228"
	"line_id"	"1,894"
	"line_name"	"France - Italy"
	"line_type"	"Treaty"
	"mrgid_sov1"	"17"
	"mrgid_ter1"	"17"
	"territory1"	"France"
	"sovereign1"	"France"
	"mrgid_ter2"	"2,133"
	"territory2"	"Italy"
	"mrgid_sov2"	"2,133"
	"sovereign2"	"Italy"
	"mrgid_eez1"	"5,677"
