Tidal barrage lagoon fence 
	"Status"	"fully operational"
	"Name"	"JiangXia Tidal Power Station"
	"Commercial Readiness"	"commercial project"
	"Phase"	""
	"Country"	"China"
	"Sea"	"East China Sea"
	"Region"	"Zhejiang Province"
	"Latitude (° N)"	"28.34"
	"Longitude (° E)"	"121.223"
	"Capacity [MW]"	"4.1"
	"Energy source"	"marine energy (tidal barrage)"
	"Number of converters"	"6"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	"01.01.1975"
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	"China Guodian Corporation"
	"Operator"	""
	"Converter manufacturer"	""
	"Converter type"	""
	"Converter working principle"	""
	"Converter capacity [MW]"	""
	"Website"	""
	"geometry"	"POINT (13494482.632433 3291908.03240541)"

Bathymetry
	"Band 1"	"9"

